name,displayname
A_GPO_extension_was_not_applied_because_the_registry_extension_failed_5_Rule,レジストリ拡張子の失敗のため GPO 拡張子は適用されませんでした
A_Group_Policy_object_cannot_be_found_in_Active_Directory_5_Rule,Active Directory にグループ ポリシー オブジェクトが見つかりません
A_Group_Policy_Object_is_corrupt._5_Rule,グループ ポリシー オブジェクトが壊れています。
A_journal_wrap_error_has_occurred_on_the_Sysvol_5_Rule,Sysvol 上でジャーナル ラップ エラーが発生しました
A_problem_has_been_detected_with_the_trust_relationship_between_two_domains,2 つのドメイン間の信頼関係で問題が検出されました
A_replication_island_has_been_detected_Replication_will_not_occur_across_the_enterprise,レプリケーション アイランドが検出されました。レプリケーションは、エンタープライズ全体では行われません
Active_Directory_cannot_be_initialized_5_Rule,Active Directory を初期化できません
Active_Directory_cannot_boot_normally_because_the_database_was_in_an_incorrect_state_5_Rule,データベースが正しくない状態だったため、Active Directory を通常どおり起動できません
Active_Directory_cannot_create_a_new_security_descriptor_5_Rule,Active Directory は、新しいセキュリティ記述子を作成できません
Active_Directory_cannot_function_normally_5_Rule,Active Directory は正しく機能しません
Active_Directory_cannot_perform_an_authenticated_RPC_call_to_another_DC_because_the_SPN_for_the_destination_DC_is_not_registered_on_the_KDC_5_Rule,宛先 DC の SPN が KDC に登録されていないため、Active Directory は別の DC に対する認証された RPC 呼び出しを実行できません
Active_Directory_cannot_replicate_configuration_and_schema_information_5_Rule,Active Directory は、構成とスキーマ情報をレプリケートできません
Active_Directory_cannot_update_object_due_to_insufficient_memory_5_Rule,Active Directory は、メモリ不足によりオブジェクトを更新できません
AD_cannot_allocate_memory_5_Rule,AD は、メモリを割り当てることができません
AD_cannot_find_the_NTDS_object_for_this_domain_controller_5_Rule,AD は、このドメイン コントローラの NTDS オブジェクトを見つけることができません
AD_cannot_find_the_partition_container_5_Rule,AD は、パーティション コンテナを見つけることができません
AD_cannot_update_object_because_the_disk_containing_the_database_is_full_5_Rule,データベースのあるディスクがいっぱいなため、AD はオブジェクトを更新できません
AD_cannot_update_the_object_5_Rule,AD はオブジェクトを更新できません
AD_database_is_corrupt_5_Rule,AD データベースが壊れています
AD_internal_error__reinstall_server_5_Rule,AD 内部エラー:サーバーを再インストールします
AD_Replication_Monitoring_A_problem_has_been_detected_with_the_trust_relationship_between_two_domains,AD レプリケーションの監視 - 2 つのドメイン間の信頼関係で問題が検出されました
An_attempt_to_set_the_time_was_aborted_due_to_the_offset_being_too_large_5_Rule,オフセットが大きすぎるため、時刻設定の試行は中止されました
An_internal_AD_error_occurred_5_Rule,内部 AD エラーが発生しました
Attempts_to_backup_or_restore_Active_Directory_have_failed_or_will_fail_5_Rule,Active Directory のバックアップまたは復元に失敗したか、または失敗します
Attempts_to_update_Active_Directory_are_failing_5_Rule,Active Directory を更新しようとして失敗しています
Cannot_access_the_registry_policy_file_5_Rule,レジストリ ポリシー ファイルにアクセスできません
Corrupt_Credentials_5_Rule,資格情報が壊れています
Failed_to_ping_or_bind_to_the_Domain_Naming_Master_FSMO_role_holder,ドメイン名前付けマスタ FSMO の役割所有者への ping またはバインドに失敗しました
Failed_to_ping_or_bind_to_the_Infrastructure_Master_FSMO_role_holder,インフラストラクチャ マスタ FSMO の役割所有者への ping またはバインドに失敗しました
Failed_to_ping_or_bind_to_the_PDC_FSMO_role_holder,PDC FSMO の役割所有者への ping またはバインドに失敗しました
Failed_to_ping_or_bind_to_the_RID_Master_FSMO_role_holder,RID マスタ FSMO の役割所有者への ping またはバインドに失敗しました
Failed_to_ping_or_bind_to_the_Schema_Master_FSMO_role_holder,スキーマ マスタ FSMO の役割所有者への ping またはバインドに失敗しました
FRS_has_not_replicated_one_or_more_files_in_the_Sysvol_to_other_domain_controllers_5_Rule,FRS は、Sysvol の 1 つ以上のファイルを他のドメイン コントローラにレプリケートしませんでした
Group_policy_processing_aborted___cannot_connect_to_the_Directory_Service_5_Rule,グループ ポリシーの処理は中止されました - ディレクトリ サービスに接続できません
Group_policy_processing_aborted___reboot_this_machine_5_Rule,グループ ポリシーの処理は中止されました - このコンピュータを再起動します
Group_policy_processing_aborted___the_search_for_the_root_AD_object_failed_5_Rule,グループ ポリシーの処理は中止されました - ルート AD オブジェクトの検索に失敗しました
KCC_failed_to_initialize_5_Rule,KCC の初期化に失敗しました
KCC_failed_to_update_replication_topology_5_Rule,KCC はレプリケーション トポロジを更新できませんでした
Local_group_policy_is_disabled_5_Rule,ローカル グループ ポリシーが無効です
Machine_account_policy_failure___Active_Directory_GPO_lookup_failure_5_Rule,コンピュータ アカウント ポリシーのエラー - Active Directory GPO 参照エラー
AD_Replication_Monitoring.Monitor,レプリケーション エラー
Site_has_no_NTDS_Site_Settings_object_5_Rule,サイトには、NTDS サイト設定オブジェクトがありません
Site_link_was_not_found_5_Rule,サイト リンクが見つかりませんでした
All_replication_partners_failed_to_synchronize,すべてのレプリケーション パートナーがレプリケートできませんでした。
The_Active_Directory_database_is_corrupt_5_Rule,Active Directory データベースが壊れています
The_computer_s_domain__1_is_unavailable.___2_.__5_Rule,コンピュータのドメイン %1 は利用できません。 (%2).  [OR] コンピュータのドメイン %1 は利用できません。 (%2). 
The_Domain_Controller_has_shutdown_unexpectedly_5_Rule,ドメイン コントローラは予期せずシャットダウンされました
The_security_descriptor_propagation_task_encountered_an_error_5_Rule,セキュリティ記述子の伝達のタスクでエラーが発生しました
This_server_cannot_process_the_replication_request_5_Rule,このサーバーはレプリケーション要求を処理できません
Unable_to_establish_connection_with_any_Global_Catalog_s__5_Rule,グローバル カタログとの接続を確立できません
Windows_Directory_Service__Active_Directory__cannot_be_initialized_5_Rule,Windows ディレクトリ サービス (Active Directory) を初期化できません
Windows_Directory_Service__Active_Directory__exception_5_Rule,Windows ディレクトリ サービス (Active Directory) の例外
A_DNS_server_used_by_this_server_for_name_resolution_did_not_respond_1_Rule,このサーバーが名前解決に使用している DNS サーバーがタイムアウト期間内に応答しませんでした
